application_type,year,planning_district,decision
MV,2023,Toronto East York,0
CO,2023,Etobicoke York,0
MV,2023,North York,0
CO,2023,Etobicoke York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
CO,2023,Scarborough,1
CO,2023,Scarborough,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Scarborough,0
MV,2023,Toronto East York,0
MV,2023,Toronto East York,0
MV,2023,Etobicoke York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,0
CO,2023,North York,1
MV,2023,Toronto East York,1
CO,2023,Etobicoke York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
CO,2023,Scarborough,1
MV,2023,Toronto East York,1
MV,2023,North York,0
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,0
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
CO,2023,Toronto East York,1
MV,2023,Toronto East York,1
CO,2023,Toronto East York,1
MV,2023,North York,1
MV,2023,Scarborough,0
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,0
MV,2023,Toronto East York,1
CO,2023,Scarborough,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
CO,2023,Toronto East York,1
CO,2023,Etobicoke York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,0
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
CO,2023,Scarborough,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
CO,2023,Scarborough,1
MV,2023,Scarborough,1
MV,2023,Scarborough,1
MV,2023,Toronto East York,1
CO,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,North York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
CO,2023,Etobicoke York,1
MV,2023,North York,1
MV,2023,North York,0
CO,2023,Toronto East York,1
CO,2023,Scarborough,1
MV,2023,Scarborough,1
MV,2023,Scarborough,1
CO,2023,Toronto East York,1
MV,2023,Toronto East York,1
MV,2023,Toronto East York,1
CO,2023,Etobicoke York,1
MV,2023,North York,0
CO,2023,Etobicoke York,1
MV,2023,Etobicoke York,1
MV,2023,Etobicoke York,1
MV,2023,North York,0
CO,2023,Toronto East York,1
CO,2023,Toronto East York,1
CO,2023,Etobicoke York,1
MV,2023,Scarborough,1
CO,2023,Scarborough,1
MV,2023,Scarborough,0
CO,2023,Scarborough,1
MV,2023,Toronto East York,1
CO,2023,North York,1
CO,2024,Toronto East York,1
MV,2024,Toronto East York,1
CO,2024,North York,1
CO,2024,Scarborough,1
MV,2024,Toronto East York,0
CO,2024,Scarborough,1
CO,2024,Etobicoke York,1
CO,2024,Etobicoke York,0
MV,2024,Etobicoke York,0
MV,2024,Etobicoke York,0
CO,2024,Toronto East York,1
MV,2024,Toronto East York,0
CO,2024,Toronto East York,1
CO,2024,Etobicoke York,1
CO,2024,Toronto East York,1
MV,2024,Etobicoke York,1
CO,2024,Etobicoke York,0
MV,2024,Toronto East York,0
MV,2024,Toronto East York,0
CO,2024,Scarborough,1
MV,2024,Etobicoke York,1
CO,2024,Etobicoke York,1
MV,2024,Etobicoke York,1
CO,2024,Toronto East York,1
CO,2024,Etobicoke York,1
MV,2024,North York,0
MV,2024,North York,0
MV,2024,North York,0
MV,2024,North York,0
CO,2024,North York,0
CO,2024,North York,0
CO,2024,Scarborough,1
CO,2024,Toronto East York,1
MV,2024,Toronto East York,0
MV,2024,Scarborough,1
MV,2024,North York,0
MV,2024,North York,0
MV,2024,Etobicoke York,0
CO,2024,Toronto East York,1
CO,2024,Scarborough,1
CO,2024,North York,1
CO,2024,Scarborough,1
MV,2024,Toronto East York,0
MV,2024,Etobicoke York,1
CO,2024,Toronto East York,1
CO,2024,Toronto East York,1
CO,2024,North York,1
CO,2024,Etobicoke York,1
MV,2024,Toronto East York,0
CO,2024,Scarborough,1
CO,2024,Toronto East York,1
CO,2024,North York,1
CO,2024,Scarborough,1
CO,2024,Etobicoke York,1
MV,2024,Etobicoke York,1
CO,2024,Toronto East York,1
MV,2024,Etobicoke York,1
MV,2024,Toronto East York,1
MV,2024,Toronto East York,1
CO,2024,Etobicoke York,1
MV,2024,North York,0
CO,2024,Scarborough,1
MV,2024,Scarborough,1
MV,2024,Scarborough,1
CO,2024,Scarborough,1
MV,2024,Toronto East York,0
CO,2024,North York,1
CO,2024,North York,1
CO,2024,North York,1
CO,2024,North York,1
MV,2024,Toronto East York,1
MV,2024,Etobicoke York,0
MV,2024,Etobicoke York,0
CO,2024,North York,1
CO,2024,Scarborough,1
MV,2024,North York,0
MV,2024,North York,0
CO,2024,North York,0
CO,2024,Scarborough,1
CO,2024,Toronto East York,1
CO,2024,Toronto East York,1
CO,2024,Toronto East York,1
CO,2024,North York,1
CO,2024,Toronto East York,1
CO,2024,Toronto East York,1
MV,2024,Toronto East York,0
MV,2024,Etobicoke York,1
MV,2024,Toronto East York,1
CO,2024,North York,1
MV,2024,North York,1
CO,2024,Toronto East York,1
MV,2024,Toronto East York,1
MV,2024,North York,0
MV,2024,Etobicoke York,0
CO,2024,North York,0
MV,2024,North York,0
MV,2024,North York,0
MV,2024,Etobicoke York,1
MV,2024,Etobicoke York,1
CO,2024,North York,0
MV,2024,Toronto East York,0
MV,2024,Toronto East York,0
CO,2024,North York,1
CO,2024,North York,0
MV,2024,North York,0
MV,2024,North York,0
MV,2024,Toronto East York,1
CO,2024,Scarborough,1
MV,2024,Scarborough,1
MV,2024,Etobicoke York,0
CO,2024,Toronto East York,1
MV,2024,Scarborough,1
CO,2024,Toronto East York,1
MV,2024,Toronto East York,0
MV,2024,Etobicoke York,0
MV,2024,North York,0
CO,2024,Scarborough,1
MV,2024,Scarborough,1
CO,2024,Scarborough,1
MV,2024,Scarborough,1
MV,2024,Scarborough,1
CO,2024,Toronto East York,1
MV,2024,Toronto East York,1
MV,2024,Toronto East York,1
CO,2024,Scarborough,1
MV,2024,Toronto East York,1
MV,2024,Toronto East York,0
MV,2024,North York,1
MV,2024,Scarborough,1
MV,2024,Etobicoke York,1
MV,2024,Etobicoke York,0
MV,2024,Etobicoke York,1
MV,2024,Toronto East York,1
MV,2024,Etobicoke York,0
CO,2024,Toronto East York,1
CO,2024,Toronto East York,1
MV,2024,North York,1
MV,2024,Etobicoke York,1
CO,2024,North York,0
MV,2024,North York,0
MV,2024,North York,0
MV,2024,Scarborough,1
MV,2024,Scarborough,1
CO,2024,Etobicoke York,1
CO,2024,Etobicoke York,1
CO,2024,Toronto East York,1
MV,2024,Toronto East York,1
MV,2024,Toronto East York,1
MV,2024,Toronto East York,1
MV,2024,North York,1
MV,2024,Toronto East York,1
MV,2024,Etobicoke York,1
MV,2024,Toronto East York,1
MV,2024,Toronto East York,1
MV,2024,Toronto East York,0
MV,2024,Scarborough,0
MV,2024,Etobicoke York,0
MV,2024,Etobicoke York,1
MV,2024,Scarborough,1
MV,2024,North York,0
MV,2024,Scarborough,0
MV,2024,Etobicoke York,1
MV,2024,Etobicoke York,1
MV,2024,Toronto East York,1
MV,2024,Scarborough,1
MV,2024,Scarborough,1
MV,2024,Toronto East York,1
MV,2024,Toronto East York,1
MV,2024,Toronto East York,1
MV,2024,North York,1
MV,2024,Toronto East York,1
MV,2024,Etobicoke York,1
CO,2024,Etobicoke York,1
MV,2024,Toronto East York,1
MV,2024,Scarborough,1
MV,2024,Toronto East York,1
MV,2024,Scarborough,1
MV,2024,Etobicoke York,1
MV,2024,Toronto East York,1
MV,2024,Toronto East York,1
MV,2024,Scarborough,1
MV,2024,Scarborough,1
MV,2024,North York,1
MV,2024,Toronto East York,1
MV,2024,Scarborough,1
MV,2024,North York,0
MV,2024,Etobicoke York,1
MV,2024,Toronto East York,1
MV,2024,Scarborough,1
MV,2024,Toronto East York,1
MV,2024,Scarborough,1
MV,2024,North York,1
MV,2024,Toronto East York,1
MV,2024,Scarborough,1
MV,2024,Scarborough,1
MV,2024,Etobicoke York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,Etobicoke York,1
MV,2024,Scarborough,1
MV,2024,Scarborough,1
MV,2024,North York,1
MV,2024,Toronto East York,1
MV,2024,Etobicoke York,1
MV,2024,Etobicoke York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,Scarborough,1
MV,2024,Etobicoke York,1
MV,2024,North York,1
MV,2024,Etobicoke York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,Scarborough,1
MV,2024,Etobicoke York,1
MV,2024,Etobicoke York,1
MV,2024,Etobicoke York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,Etobicoke York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,Etobicoke York,1
MV,2024,Etobicoke York,1
MV,2024,Etobicoke York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,Etobicoke York,1
MV,2024,Etobicoke York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
MV,2024,North York,1
